ll: l-l
chances: chan-ces
disappeared: di-sap-peared
member: mem-ber
discovered: dis-co-vered
Carol: Ca-rol
Martha: Mart-ha
artist: ar-tist
theory: theo-ry
depends: de-pends
ruin: ru-in
traffic: traf-fic
nonsense: non-sense
carrying: car-ry-ing
Laura: Lau-ra
midnight: mi-dnight
deliver: de-li-ver
officers: of-fi-cers
button: but-ton
dealing: dea-ling
original: o-ri-gi-nal
hated: ha-ted
cases: ca-ses
received: re-ceived
Subtitles: Sub-ti-tles
charming: char-ming
decent: de-cent
below: be-low
Texas: Te-xas
desert: de-sert
process: pro-cess
Hollywood: Hol-ly-wood
expensive: ex-pen-sive
belongs: be-longs
particular: par-ti-cu-lar
higher: hig-her
lower: lo-wer
period: pe-ri-od
breathing: breat-hing
grandmother: gran-dmot-her
dollar: dol-lar
thousands: thou-sands
soldiers: sol-diers
surely: su-rely
including: in-clu-ding
Logan: Lo-gan
boring: bo-ring
Karen: Ka-ren
Lt: L-t
ashamed: as-hamed
sisters: sis-ters
section: sec-tion
clever: cle-ver
success: suc-cess
honestly: ho-nes-tly
garage: ga-rage
physical: phy-si-cal
connection: con-nec-tion
complicated: com-pli-ca-ted
regret: re-gret
pulling: pul-ling
loser: lo-ser
closet: clo-set
giant: gi-ant
parking: par-king
Twenty: Twen-ty
policy: po-li-cy
stranger: stran-ger
Maggie: Mag-gie
Lily: Li-ly
governor: go-ver-nor
Europe: Eu-rope
faces: fa-ces
awake: a-wake
Kitty: Kit-ty
pilot: pi-lot
miracle: mi-ra-cle
lover: lo-ver
aboard: a-board
cigarette: ci-ga-rette
disgusting: dis-gus-ting
mighty: migh-ty
grateful: gra-teful
murderer: mur-de-rer
garden: gar-den
Sally: Sal-ly
Alice: A-lice
Linda: Lin-da
Marie: Ma-rie
event: e-vent
actor: ac-tor
senior: se-nior
changing: chan-ging
winter: win-ter
curious: cu-rio-us
badly: ba-dly
scary: sca-ry
super: su-per
shoulder: shoul-der
disease: di-sease
smoking: smo-king
offered: of-fered
closing: clo-sing
talent: ta-lent
concern: con-cern
garbage: gar-bage
mostly: mos-tly
attitude: at-ti-tude
recently: re-cen-tly
friendly: frien-dly
quarter: quar-ter
engaged: en-gaged
basically: ba-si-cally
Amen: A-men
passing: pas-sing
available: a-vai-la-ble
Louis: Lou-is
Marshall: Mars-hall
taxi: ta-xi
likely: li-kely
object: ob-ject
percent: per-cent
Japanese: Ja-pa-nese
Navy: Na-vy
desperate: des-perate
pussy: pus-sy
negative: ne-ga-tive
